attribute_id,OBJECTID
77034122,15173
77083684,15200
77024291,15340
77048230,15345
77085992,15357
77055786,15390
77118571,15428
77037765,15456
77149099,15483
77030739,15497
77037766,15518
77033823,15537
77032498,15541
77038016,15555
77118743,15574
77118652,15600
77086349,15652
77149450,15672
77118485,15691
77118573,15697
77149109,15711
77118560,15720
77030806,15745
77033832,15757
77147226,15763
77149114,15769
77055737,15772
77034182,15787
77030782,15810
77032630,15817
77034109,15819
77034267,15850
77035940,15862
77035648,15863
77037947,15865
77018074,15898
77105154,15906
77083400,15909
77032304,15912
77032416,15916
77105094,15939
77054181,15999
77035891,16034
77149451,16051
77149744,16052
77149573,16055
77116971,16066
77083512,16071
77083275,16073
77083263,16074
77104903,16077
77105059,16104
77149760,16110
77105243,16136
77105072,16137
77105137,16138
77118982,16145
77118988,16146
77038688,16158
77105254,16166
77118797,16173
77083122,16233
77083316,16234
77039037,16245
77083256,16280
77037253,16287
77035941,16290
77086026,16326
77086105,16358
77203631,16378
77152066,16409
77034013,16414
77105151,16423
77104969,16424
77203646,16433
77105194,16450
77024195,16456
77104946,16462
77116886,16463
77024167,16478
77104990,16502
77151851,16529
77105335,16531
77037906,16540
77037622,16543
77083297,16563
77035629,16639
77147057,16669
77083521,16676
77055697,16687
77054171,16694
77054126,16715
77118955,16737
77151869,16770
77149738,16774
77152113,16798
77151850,16799
77085970,16817
77085939,16818
77038104,16824
77038763,16845
77039120,16875
77055713,16890
77037416,16894
77032363,16900
77038642,16902
77104980,16913
77038660,16928
77104944,16961
77035767,16982
77038907,16985
77118455,16996
77035761,17001
77083218,17025
77039119,17026
77055854,17037
77131577,17046
77083492,17055
77149503,17057
77203650,17091
77105125,17162
77104973,17179
77104934,17182
77083124,17196
77086314,17200
77105099,17210
77086178,17229
77083486,17263
77034419,17378
77034269,17379
77032139,17448
77035680,17461
77035719,17496
77024698,17522
77024113,17523
77086170,17576
77083480,17577
77083741,17578
